city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Garčin,45.1819,18.1839,Croatia,HR,Brodsko-Posavska Županija,minor,911,911
Zrinski Topolovac,46.0333,16.7167,Croatia,HR,Koprivničko-Križevačka Županija,minor,890,890
Tar,45.2989,13.6250,Croatia,HR,Istarska Županija,minor,886,886
Trpanj,43.0000,17.2750,Croatia,HR,Dubrovačko-Neretvanska Županija,minor,871,871
Lovas,45.2333,19.1667,Croatia,HR,Vukovarsko-Srijemska Županija,minor,869,869
Mikleuš,45.6200,17.8000,Croatia,HR,Virovitičko-Podravska Županija,minor,840,840
Funtana,45.1667,13.6000,Croatia,HR,Istarska Županija,minor,831,831
Donja Pušća,45.9167,15.7833,Croatia,HR,Zagrebačka Županija,minor,794,794
Dekanovec,46.4500,16.5833,Croatia,HR,Međimurska Županija,minor,774,774
Povljana,44.3467,15.1156,Croatia,HR,Zadarska Županija,minor,759,759
Tordinci,45.3667,18.8000,Croatia,HR,Vukovarsko-Srijemska Županija,minor,739,739
Kukljica,44.0350,15.2464,Croatia,HR,Zadarska Županija,minor,714,714
Gornji Bogičevci,45.2600,17.2300,Croatia,HR,Brodsko-Posavska Županija,minor,699,699
Punitovci,45.4333,18.4167,Croatia,HR,Osječko-Baranjska Županija,minor,635,635
Nedeščina,45.1400,14.1139,Croatia,HR,Istarska Županija,minor,604,604
Drenje,45.3800,18.2800,Croatia,HR,Osječko-Baranjska Županija,minor,583,583
Dragalić,45.2467,17.2889,Croatia,HR,Brodsko-Posavska Županija,minor,559,559
Vlaka,43.0094,17.5256,Croatia,HR,Dubrovačko-Neretvanska Županija,minor,492,492
Kaštelir,45.3031,13.6850,Croatia,HR,Istarska Županija,minor,329,329
Sveti Martin na Muri,46.5269,16.3750,Croatia,HR,Međimurska Županija,minor,291,291
Klakar,45.1000,18.1333,Croatia,HR,Brodsko-Posavska Županija,minor,272,272
Podstrana,43.4800,16.5800,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
